排名,账号,类型,粉丝,均赞,最高赞,赞粉比,量级分层,赛道出现次数,美妆占比,爆款率,怎么用,命中关键词,最有代表性的一条
106,崔夕夕,达人号,270366,2281.0,3538.0,0.0084,甜蜜区,2,,,,美妆博主/面膜,3538.0赞 扒下美妆博主的伪装！MAC你小子真抗测啊！ #MAC无瑕粉底液 #油皮粉底液 #夏日不脱妆挑战
107,团子要努力变强,达人号,45679,1687.0,1687.0,0.0369,甜蜜区,1,,,,祛痘精华,1687.0赞 回复 @脸颊笑的评论 别再问我脸上长痘用什么了，我用的是肤泊漫祛痘精华，脸上豆消了好多，d印也淡化，真的挺好用的 #肤泊漫祛痘精华 #痘痘
108,波罗波罗蜜🍯,达人号,15016,553.0,553.0,0.0368,甜蜜区,1,,,,黄黑皮,553.0赞 亮亮王炸漂亮素颜水低成本白透亮～宇宙无敌巨好喝 黄黑皮天菜 日常给皮肤喝得漂亮水真的很不错～现在正是石榴的季节，快去试试吧～ #花青素喝出好气色 #女孩子养颜的饮品 #玫瑰养颜饮 #养生 #黄黑皮逆袭
109,饼饼懿,达人号,21650,704.0,704.0,0.0325,甜蜜区,1,,,,水杨酸,704.0赞 咳咳 回复 @雷霆嘎巴无情哈拉少出门必带伏特加的评论 其实我很少花费心思在护肤上，只是习惯把清洁做好，一直在用芦卡肤洁面慕斯。我皮肤本身比较爱出油，换季的时候状态不稳定，还容易冒小疙瘩。里面有水杨酸+PCA锌，清洗得很干净，洗完不会假滑，想要温和控油、稳住皮肤状态的姐妹，可以试试看。  #油痘肌护肤 #洁面分享 #换季护肤 #自用好物
110,韩束KANS官方直播号,品牌号,413566,357.7,1901.0,0.0009,甜蜜区,7,,,,抗老/面膜,1901.0赞 爱人先爱己 一切向内求 希望我们都能成为更好的自己#逆袭 #护肤 #爱己 #去黄提亮 #细毛孔 #韩束黄金胶原炮面膜
111,秋页🍃,达人号,401384,703.0,713.0,0.0018,甜蜜区,2,,,,皮肤管理,713.0赞 在南京西路体验全套的秋季护肤大满贯，竟然已经卷到99了！#美容护肤 #皮肤管理 #女孩子的快乐
112,小羊睡不醒,达人号,30704,955.0,955.0,0.0311,甜蜜区,1,,,,护肤教程,955.0赞 回复 @小懒的评论 我来啦!上个视频很多问护肤教程的，宝宝你们自己去搜吧，我最近一直用的是维她白抗氧洗面奶，因为我很懒不想每次在脸上涂一大堆，这个每次用完脸都软软嫩嫩的.一整天都特别亮#清纯#抗氧#美白洗面奶#好皮肤
113,没事吃口饭,达人号,353323,9726.0,9726.0,0.0275,甜蜜区,1,,,,早C晚A/水乳,9726.0赞 来深夜放毒了，和我妈的夜宵时间！ #美食vlog #日常vlog #夜宵  #记录生活 #HBN早C晚A水乳pro
114,奶绿包,达人号,64165,1813.0,1813.0,0.0283,甜蜜区,1,,,,洗面奶,1813.0赞 找到自己的频道会充满生命力 #健身 #健身vlog #健身日常 #海洋至尊三棱镜洗面奶 #男士护肤就用海洋至尊
115,努力的干饭达人,达人号,240817,6217.0,6217.0,0.0258,甜蜜区,1,,,,水乳,6217.0赞 干饭日常｜芒果奶糕碗 开心果血糯米千层 #美食#甜品#珀莱雅红宝石套装#珀莱雅红宝石水乳
116,小飞侠,达人号,92264,2256.0,2256.0,0.0245,甜蜜区,1,,,,皮肤管理,2256.0赞 谁相信哀家马上40了~ 年轻真不看年龄，是整个人舒展的状态💛找到适合自己、简单好坚持的小习惯，然后好好坚持~#女性保养 #体重管理 #发量管理 #皮肤管理#形象管理
117,胡漂亮,达人号,29008,709.0,709.0,0.0244,甜蜜区,1,,,,水乳/油皮护肤/精简护肤,709.0赞 油痘肌百元本命护肤！芙清全家桶必吃榜 #精简护肤日常 #芙清凉茶水乳 #油痘肌 #油皮 #护肤
118,热,达人号,105847,2412.0,2412.0,0.0228,甜蜜区,1,,,,积雪草,2412.0赞 好皮肤才是最大的底气#芙效宁积雪草祛痘膏
119,飞仔Joey,达人号,26018,584.0,584.0,0.0224,甜蜜区,1,,,,痘印,584.0赞 网络热门护肤视频7 今天继续来看看网上还有哪些护肤野路子 #科学护肤 #敏感肌 #油痘肌 #痘印该怎么消 #敏皮护肤
120,龙虾面🖤,达人号,32311,709.0,709.0,0.0219,甜蜜区,1,,,,洗面奶,709.0赞 很多宝宝私信问我用的什么洗面奶，我一直在用芦卡肤，已经用空好几瓶啦。泡沫很绵密，洗完整个人都很清爽。出油多、偶尔冒小豆豆的肤质用着体验感超好的，有同样情况的宝宝可以试试看#芦卡肤祛痘洗面奶#洗面奶推荐#控油祛痘#手势舞#甜妹@DOU+小助手
121,豆豆子,达人号,217199,4654.0,4654.0,0.0214,甜蜜区,1,,,,护肤教程,4654.0赞 素颜好皮肤的护肤教程！#护肤分享
122,不和笨蛋丸,达人号,79409,1455.0,1455.0,0.0183,甜蜜区,1,,,,洗面奶,1455.0赞 嗯对 品牌方看到可以送我嘛 谢谢～#甜妹 #好皮肤 #美白洗面奶 #少女感 #维她白美白洗面奶
123,TaoTao抗老干货,达人号,196596,3857.0,3857.0,0.0196,甜蜜区,1,,,,抗老,3857.0赞 素人抗衰击败富豪！深扒7大平民抗衰法则！ 仅为个案效果，请酌情参考。如有不适请线下就医。 #长寿 #逆龄抗衰 #抗老 #健康习惯
124,Franco,达人号,283016,4655.0,4655.0,0.0164,甜蜜区,1,,,,眼霜,4655.0赞 眼周又老又干？赶快进来抄答案！ #眼霜
125,好困.没睡醒,达人号,202388,3523.0,3523.0,0.0174,甜蜜区,1,,,,水杨酸,3523.0赞 回复 @Hahaha：）的评论 其实我很少花费心思在护肤上，只是习惯把清洁做好，一直在用芦卡肤洁面慕斯。我皮肤本身比较爱出油，换季的时候状态不稳定，还容易冒小疙瘩。里面有水杨酸+PCA锌，清洗得很干净，洗完不会假滑，想要温和控油、稳住皮肤状态的，可以试试看。#koe摇 #油痘肌护肤 #洁面分享 #换季护肤 #自用好物
126,等家怡,达人号,43539,565.0,565.0,0.013,甜蜜区,1,,,,洗面奶,565.0赞 简直神来的！终于找到我的人生洗面奶了！#手势舞#好皮肤#美白洗面奶
127,我想喝胡辣汤,达人号,60680,855.0,855.0,0.0141,甜蜜区,1,,,,洗面奶,855.0赞 简直神来的！终于找到我的人生洗面奶了！#手势舞#好皮肤#美白洗面奶#甜妹#维她白美白洗面奶
128,海公主,达人号,70140,721.0,721.0,0.0103,甜蜜区,1,,,,洗面奶,721.0赞 少女时代的我想变漂亮，想拥有一个好皮肤 #暴走丫头 #洗面奶推荐 #控油祛痘 #今天穿什么 #芦卡肤祛痘洗面奶
129,优雅的农民工,达人号,166053,1478.0,1478.0,0.0089,甜蜜区,1,,,,洗面奶,1478.0赞 洗个脸跟洗泡泡浴一样 #日常#随拍#芭贝拉洗面奶
130,岐,达人号,93761,696.0,696.0,0.0074,甜蜜区,1,,,,面霜,696.0赞 成为你的什么好呢~#兔头妈妈#乳脂霜#好物分享#面霜#学生党
131,lululucia,达人号,77862,626.0,626.0,0.008,甜蜜区,1,,,,面膜,626.0赞 长大真好 赚钱真好 独居真好 专注自己便是最好的状态#独居#独居女孩的生活 #宅家#一个人生活#CB面膜仪
132,甜味儿酱,达人号,111646,782.0,782.0,0.007,甜蜜区,1,,,,洗面奶,782.0赞 干干净净的脸蛋 永远是加分项#手势舞 #萌 #洗面奶推荐#控油祛痘#芦卡肤祛痘洗面奶
133,陈加加,达人号,264095,1694.0,1694.0,0.0064,甜蜜区,1,,,,水杨酸,1694.0赞 出油反复长闭口？这支水杨酸洁面真的可以试试！ #适乐肤洗面奶#适乐肤水杨酸#洗面奶推荐 #油痘肌
134,小可爱,达人号,139509,792.0,792.0,0.0057,甜蜜区,1,,,,面膜,792.0赞 #有趣的头饰 #宝妈敷面膜 #卡通娃娃脸直播
135,轩轩儿,达人号,484641,789.3,2642.0,0.0016,甜蜜区,6,,,,屏障受损/面霜,2642.0赞 讲了n次的修护乳，不会还有油敏皮没用过吧#创尔美修护乳 #油敏皮护肤 #油皮修护 #修护面霜 #油痘肌修护
136,凰屿,达人号,130352,122.8,560.0,0.0009,甜蜜区,6,,,,面膜,560.0赞 秋冬护肤必备 海藻➕牛奶➕珍珠粉 减 黄 提亮 细腻 毛孔 #海藻面膜 #面膜 #护肤 #护肤分享 #平价护肤 2罐一起🈶️优惠
137,刘佳怡怡怡,达人号,261381,738.0,738.0,0.0028,甜蜜区,1,,,,洗面奶,738.0赞 沉浸式洗脸！把一天的疲惫都洗掉#洗面奶#护肤#nokdu发酵绿豆洗面奶
138,大眼邓小眼,达人号,217359,509.0,509.0,0.0023,甜蜜区,1,,,,身体乳,509.0赞 身体护理，宜早不宜晚！#身体护理 #身体乳 #秋季护理
139,叫我小喻,达人号,174271,580.0,580.0,0.0033,甜蜜区,1,,,,抗老,580.0赞 干皮换季越用越干？问题少了这一瓶金字塔抗老精华油！ #海蓝之谜奇迹精华油 #30+胶原抗老
140,抓个美女,达人号,306841,43004.0,43004.0,0.1402,甜蜜区,1,,,,面膜,43004.0赞 偶遇@漾漾不好吃，今天逛街会买什么？#购物#护肤#好物分享#达肤妍b5面膜
141,七飞的人生日记,达人号,400636,53837.0,53837.0,0.1344,甜蜜区,1,,,,面膜,53837.0赞 30岁小夫妻回农村/从早到晚嘴不停！又吃美啦 #妈呀太香了 #膜法世家二裂酵母面膜 #农村美食 #vlog
142,组乐茹贺系列产品,达人号,55232,547.8,1209.0,0.0099,甜蜜区,5,,,,胶原蛋白/面霜,1209.0赞 #抗皱紧致面霜
143,小小小满霜,达人号,10423,1289.0,1289.0,0.1237,甜蜜区,1,,,,眼霜,1289.0赞 又在这喂这个对眼霜 #大疆nano拇指相机#橘猫#猫咪吃播#沉浸式#小小小满霜
144,黄寸芷zzz🤪,达人号,397581,48884.0,48884.0,0.123,甜蜜区,1,,,,面膜,48884.0赞 日子还是4个人一起过才有趣✌#vlog #寸芷下班日记#佩尔赫乔融雪面膜
145,草本时光（七子白养肤皂）,达人号,53471,471.2,1223.0,0.0088,甜蜜区,5,,,,洗面奶,1223.0赞 化工洗面奶伤害皮肤，试试草本养肤皂，养成妈生好皮#草本时光养肤皂
146,秃头姐妹,达人号,88613,10573.0,10573.0,0.1193,甜蜜区,1,,,,面霜,10573.0赞 占便宜的人之“我以为是我的”…… #办公室日常#占便宜同事#露得清超A面霜#露得清a醇#露得清pingu联名
147,BUV护肤国货,达人号,79852,233.8,503.0,0.0029,甜蜜区,5,,,,洗面奶,503.0赞 BUV你是真敢送啊!为了给粉丝发福利，直接放大招拍二发六，快来看看吧!#BUV绿泥洗面奶 #蔡徐坤 #护肤好物 #开学 #平价好物
148,灵汐阁主小店,达人号,255246,223.8,683.0,0.0009,甜蜜区,5,,,,油皮护肤/烟酰胺/精华液/面膜/面霜,683.0赞 这#自然堂安瓶面膜 姐妹们快试试 #自然堂安瓶烟酰胺面膜 #面膜 #面膜推荐#我可真会买
149,雅诗兰黛白金,达人号,170786,289.8,1427.0,0.0017,甜蜜区,5,,,,面霜,1427.0赞 从《神话》中走来，玉漱公主白冰的愈龄秘诀是#雅诗兰黛白金黑神话面霜 ，细胞焕新，肌龄重塑，一瓶续写肌肤不老神话
150,袋鼠妈妈青少年洁面官方直播间,品牌号,217116,185.0,909.0,0.0009,甜蜜区,5,,,,氨基酸洁面/洗面奶/闭口粉刺,909.0赞 啊啊啊我的妈呀！用它真的可以越洗越亮！#袋鼠妈妈洁面乳 #洗面奶 #护肤好物#袋鼠妈妈全成长期护理专家
151,柚柚妈妈🌸,达人号,131072,13577.0,13577.0,0.1036,甜蜜区,1,,,,美白精华,"13577.0赞 凌晨十一点十五，孩子刚哄睡，老公突然叫醒我，要我妥协。
婚姻里，凭什么永远只要求女人退让？#全职妈妈 #宝妈日常#乎刻美白精华乳"
152,王美美,达人号,101562,9908.0,9908.0,0.0976,甜蜜区,1,,,,面膜,9908.0赞 孕晚期又约着姐妹们回娘家吃烧鸡啦，真的是吃美了#记录我的生活#日常vlog#孕期记录#护肤#欧诗漫美白淡斑面膜
153,Aztm-,达人号,63017,611.5,857.0,0.0097,甜蜜区,4,,,,洗面奶/精华液,857.0赞 这款美白祛斑精华液真的太好用了 #美白祛斑精华液 #精华液推荐 #太好用了
154,广西可乐（20号美白面膜发6盒）,达人号,115364,993.2,1880.0,0.0086,甜蜜区,4,,,,水乳,1880.0赞 如果谈到理解我妈，谈到孝心，在小的时侯，我已经尽孝了，她的做法和脾气，所有的脾气和缺点，我也没有记恨她大4赚到人生第一桶金就是让她扬眉吐气，不被别人说她不下蛋的母鸡，这么多年我也没有不管这个家。而且为了整体的大方向努力着。我带我奶奶上南宁，我对我奶奶好点，她就应该选择不要说话。@广西莎莎（7号美白淡斑水乳） @广西可乐好物分享版 @六六奶奶 #有孝心的人运气不会差 #婆媳 #随拍记录生活
155,熊猫不爱笑,达人号,234977,867.5,2722.0,0.0037,甜蜜区,4,,,,面膜,2722.0赞 咱也不知道哪根筋搭错了 突然跟我说要去广州散心20号又要播佩尔赫乔了他回来没两天我又要走了 这一天天的真不知道咋整了#婚后生活 #夫妻冷战 #佩尔赫乔融雪面膜 #佩尔赫乔 #PDRN融雪面膜
156,暖宝吖🍎,达人号,212761,384.2,1096.0,0.0018,甜蜜区,4,,,,身体乳/面霜,1096.0赞 入秋后，又给孩子回购了#贝德美 这款婴儿多效霜，真的是便宜又好用，蓝甘菊精粹温和护肤，宝宝用着放心#儿童面霜#贝德美多效霜#宝宝面霜
157,上上要向上（19号10点奥贝兰绿色新面霜,达人号,233590,437.2,1090.0,0.0019,甜蜜区,4,,,,水乳/面霜,1090.0赞 新品面霜重磅来袭，一套去黄提亮水乳，再来一套绿色舒缓修护的还有我们的新品绿色面霜，拍一发5件套，19号我们不见不散！
158,旭东,达人号,177531,15368.0,15368.0,0.0866,甜蜜区,1,,,,水乳,15368.0赞 我妈这次真闯祸了，竟然把玉儿的名字喊错了，我紧忙去找姐夫给出招#日常vlog#吵架#有生之颜时光锁水乳
159,皮肤科田歆主任,达人号,394957,481.5,1089.0,0.0012,甜蜜区,4,,,,护肤干货/油皮护肤/精简护肤,1089.0赞 网红药别跟风（二）想美白淡斑，氨甲环酸片到底能不能吃？ #美白  #黄褐斑  #抖出健康知识宝藏  #护肤干货  #知识科普
160,Aucuz奥札官方旗舰店,品牌号,229671,147.0,585.0,0.0006,甜蜜区,4,,,,防晒霜,585.0赞 早八人通勤用的防晒居然还能养肤？ 日常通勤用刚好，不含酒精还能养护肌肤，赶时间的早八党太合适啦#防晒霜 #通勤 #早八通勤 #日常通勤防晒 #不网感但能换头的淡妆
161,菠菜本菠,达人号,10093,829.0,829.0,0.0821,甜蜜区,1,,,,面霜,829.0赞 你们都说我皮肤好是吧！爱用来了 #护肤分享#好皮肤 #自用好物分享#换季护肤#面霜推荐
162,小强凌凌柒,达人号,12110,970.0,970.0,0.0801,甜蜜区,1,,,,防晒霜,"970.0赞 你的persona呢？快叫出来啊！【明日方舟x P3R】 #明日方舟创作者应援计划 #明日方舟 #月行水上 #结城理 
让我看看谁还没有人格面具

借物表：
F式 阿米娅
baka 陈、Q版陈
防晒霜 凯尔希
クロノ式 能天使 、博士
Persona3 reload
场景:eda玖棠 陈的办公室、罗德岛现代音乐排练室 R.I. Studio"
163,彭七柚,达人号,274099,20710.0,20710.0,0.0756,甜蜜区,1,,,,洗面奶,20710.0赞 沉浸式体验驱车五个小时山姆买爽的一天#vlog日常 #第一视角 #婚后生活  #山姆#hbn氨基酸洗面奶
164,有果子,达人号,79688,5478.0,5478.0,0.0687,甜蜜区,1,,,,身体乳,5478.0赞 我家土象鸿哥有自己的主动和选择性被动！每天都收演绎的淋漓尽致，会嫌我拖地不干净不让我上手，也会嫌擦身体乳麻烦直接一个土象沉默！#生活的烟火气息 #人夫感 #土象 #我和室友的日常 #vlog七天打卡
165,玛姬老大,达人号,72901,4892.0,4892.0,0.0671,甜蜜区,1,,,,胶原蛋白,4892.0赞 上班带娃两头顾，又是充实满满的一天！ #香港生活 #日常vlog #高能量 #丸美胶原小金针精华#重组胶原蛋白
166,老王爱带娃,达人号,14235,921.0,921.0,0.0647,甜蜜区,1,,,,面霜,921.0赞 何其有幸遇见这么好的婆婆，我真的太幸福了 #一页儿童面霜 #老爸测评#婆媳 #面霜 #崔玉涛
167,小马很温柔,达人号,50951,405.7,1029.0,0.008,甜蜜区,3,,,,洗面奶,1029.0赞 姐妹们，我对象替你们试过了!这#蔡徐坤代言的#buv绿泥洗面奶真的夯!!#控油#大一新生
168,笑容加个人护理旗舰店,品牌号,66453,310.7,904.0,0.0047,甜蜜区,3,,,,早C晚A/美白精华,904.0赞 早 C 晚 A 不如早白晚白！usmile 双管美白牙膏，早上清新晚上美白，24 小时牙齿在线发光 #usmile 双管美白精华牙膏 #
169,H在韩日记,达人号,238175,14649.0,14649.0,0.0615,甜蜜区,1,,,,早C晚A/水乳,14649.0赞 在韩国农村我们也能够一年四季水果不断，爷爷家又到吃黄桃的季节～#vlog日常 #农村生活 #HBN早C晚A水乳pro
170,荣婷婷,达人号,77331,2592.5,2641.0,0.0335,甜蜜区,2,,,,面膜,2641.0赞 入秋了，做一次老式辣椒沫@王北四19号8点人皮面膜新品韩国首发！ #记录真实生活 #农村美食 #辣椒酱 #东北秋天必做老式辣椒沫
171,丽颖✔,达人号,149806,505.7,1101.0,0.0034,甜蜜区,3,,,,面膜,1101.0赞 平台呀，人家愿意发，哎呀，人家这是正能量宣传，那比我这儿多的多了，你咋不管呢？你为什么老光看着我呢？我这就是正能量。哎，面膜，内裤展。#床上拉伸腿部
172,明宇车城 | 哲明,达人号,221728,1126.7,1485.0,0.0051,甜蜜区,3,,,,面膜,1485.0赞 我实在忍不了了， 我今天非得给你曝光出来！！！！！！！！！！！！！！！@露姐👑明宇夫妇9月21日安牡丹面膜专场 #酒后行为艺术家 #迷惑行为大赏 #酒后迷惑行为 #夫妻日常 #明宇车业
173,谷燎子（老板和我们）,达人号,446163,2199.7,2848.0,0.0049,甜蜜区,3,,,,洗面奶,2848.0赞 感觉空唠唠的～ #老板和我们 #谷燎子 #梵美仕洗面奶 #梵美仕
174,yyyyY,达人号,14620,873.0,873.0,0.0597,甜蜜区,1,,,,洗面奶,873.0赞 很多宝宝问我护肤，我平时用的是维她白洗面奶，我觉得比之前用过的那些都好用，每次洗完脸都嫩到不行，宝宝们可以试试~ #维她白美白洗面奶  #手势舞 #校园 #学生党#fyp
175,大窝瓜,达人号,125815,521.3,1525.0,0.0041,甜蜜区,3,,,,黄黑皮,1525.0赞 黄黑皮选底妆拒绝假白发灰，贴合原生肤色放大你自带的质感优势 #黄黑皮 #亚裔妆 #遮瑕粉底液 #粉底液  #化妆分享
176,二哥二嫂爱东北,达人号,94997,445.7,698.0,0.0047,甜蜜区,3,,,,皮肤管理,698.0赞 一家人在一起不能互相挑剔，有话要说出来@铂医堂皮肤管理(抚远店)专用号 tang#农村盖房那些事 #记录真实生活 @抖音 @抖音作者助手 @
177,幺妹儿吖,达人号,418760,483.0,1438.0,0.0012,甜蜜区,3,,,,祛痘精华/精华液/面膜,1438.0赞 爱熬夜吃辣的赶紧薅这个薇诺娜正装羊毛！#薇诺娜#薇诺娜清痘净肤面膜
178,T-UNCLE,达人号,482311,578.3,1327.0,0.0012,甜蜜区,3,,,,抗老/早C晚A/眼霜/面霜,1327.0赞 官方直播间上架全流程套餐！ @EIFI护肤旗舰店 新套餐，水精华霜面霜，四件套，拍4发8！
179,小铜钱,达人号,139399,220.3,552.0,0.0016,甜蜜区,3,,,,身体乳/防晒霜,552.0赞 补货啦 #身体乳 #身体冷霜 #不粘腻身体乳 #皮肤干燥 #秋冬保湿
180,张-张,达人号,79371,4692.0,4692.0,0.0591,甜蜜区,1,,,,面膜,4692.0赞 不奥德赛时期了！哥现在纯过日子人✅ #情侣日常 #迷惑行为大赏 #敷面膜
181,妆点儿13,达人号,194223,378.3,812.0,0.0019,甜蜜区,3,,,,抗老/身体乳/面膜,812.0赞 干皮秋冬的底气！你真的有点东西… #依泉C8特润霜 #依泉特润霜 #依泉身体乳 #修护从依泉开始#身体护理
182,Chlo1羊,达人号,10323,605.0,605.0,0.0586,甜蜜区,1,,,,油皮护肤/精简护肤,605.0赞 gUrwm 混油皮卸妆后 #精简护肤日常 #混油皮 #护肤 #gurwm #护肤好物分享
183,任亿万,达人号,200653,275.7,741.0,0.0014,甜蜜区,3,,,,黄黑皮,741.0赞 黄黑皮选提亮液总是踩雷或者假白发灰的，这款提亮质地水润轻薄不卡粉很自然！#提亮液 #面中提亮 #提亮 #底妆 #面部提亮液
184,瑞秋,达人号,10296,608.0,608.0,0.0591,甜蜜区,1,,,,黄黑皮,608.0赞 不会贴睫毛画眼线的新手 最适配你的妆容出现了！！ #不贴睫毛的妆容 #顶级变美进化论  #repo #黄黑皮变美思路 #草木系妆容
185,炸炸,达人号,489652,248.0,650.0,0.0005,甜蜜区,3,,,,抗老/护肤干货/胜肽/面霜,650.0赞 肽为什么这几年爆火？真好用吗？ #司美格鲁肽 #胜肽 #抗老精华 #抗老面霜 #提拉紧致抗皱
186,胖妹的生活日记,达人号,24159,1363.0,1363.0,0.0564,甜蜜区,1,,,,面膜,1363.0赞 有没有懂牙的姐妹，我这个牙齿到底怎么回事#记录我的日常生活#记录我的乡村生活#eLL面膜#透亮好气色
187,Xin欣欣,达人号,15671,865.0,865.0,0.0552,甜蜜区,1,,,,洗面奶,865.0赞 我换了很多洗面奶 用的最多的还是这个维她白 毫不夸张 你就是我用过最好用的！！#好皮肤#素颜#对口型#女高#维她白美白洗面奶
188,amangul~本人,达人号,188827,9541.0,9541.0,0.0505,甜蜜区,1,,,,面霜,9541.0赞 💧 #护肤好物分享 #好物推荐🔥 #面霜 #水光肌 #好用
189,太原四妈日常,达人号,14681,278.0,541.0,0.0189,甜蜜区,2,,,,水乳/眼霜/面霜,541.0赞 带咱家阿姨用一下咱家的眼霜，效果真的不错！ #太原四妈刘小娟 #兴都贵宾楼 #太原四妈 #佐妍#佐妍
190,黑大姐卓玛母子小号👩‍👦,达人号,22099,456.5,843.0,0.0207,甜蜜区,2,,,,烟酰胺/面膜,843.0赞 #芭姿娜 #玫瑰护肤 #保湿补水 #紧致淡纹 #红茶面膜 烟酰胺二裂酵母
191,然小然,达人号,70582,3448.0,3448.0,0.0489,甜蜜区,1,,,,面霜,3448.0赞 卖萌偶尔失手，脸蛋从未出错 #蔚蓝档案 #佳代子 #天童爱丽丝#芷豆豆豆霜#油痘肌面霜
192,板凳母女,达人号,374505,18595.0,18595.0,0.0497,甜蜜区,1,,,,面膜,18595.0赞 妈妈40多岁还没穿过婚纱，今天我带妈妈圆梦#记录真实生活#膜法世家二裂酵母面膜#婚纱照 #日常vlog
193,北山墙.,达人号,20511,999.0,999.0,0.0487,甜蜜区,1,,,,黄黑皮,999.0赞 听DJ化妆就会……#黄黑皮 #亚裔妆 #新手化妆教程 #dj化妆 #修容
194,邱邱～大福麻麻,达人号,193781,9137.0,9137.0,0.0472,甜蜜区,1,,,,早C晚A/水乳,9137.0赞 高能量妈妈第一视角 山姆收纳 晚间日常。#第一视角vlog #婚后生活  #山姆分装 #HBN早C晚A水乳pro
195,黄芬芳,达人号,62788,2849.0,2849.0,0.0454,甜蜜区,1,,,,水乳,2849.0赞 超，这顿饭有没有点太随便了 #我一口饭都不会少吃#高蛋白饮食 #HBN原白水乳 #好东西一起分享
196,委屈的薰衣草,达人号,24473,1134.0,1134.0,0.0463,甜蜜区,1,,,,祛痘精华,1134.0赞 回复 @可乐加冰块❄️的评论 不带货哈宝子们自己去搜就行，我用的去dou的是肤泊漫祛痘精华，脸上豆消了好多，d印也慢慢淡化，宝宝可以试试#肤泊漫祛痘精华 #痘痘#甜妹#穿搭#慢摇
197,顺遂,达人号,16282,713.0,713.0,0.0438,甜蜜区,1,,,,洗面奶,713.0赞 宝宝们自己去搜吧，最近一直用的维她白抗氧洗面奶，因为我很懒不想每次脸上涂一大堆，这个每次用完脸都软软嫩嫩的.一整天都特别亮#抗氧#学生党#好皮肤#维她白美白洗面奶
198,考拉fufu,达人号,486818,21435.0,21435.0,0.044,甜蜜区,1,,,,成分科普,21435.0赞 十年敏感肌坦白局!烂脸泛红也能救回来!? #蒂佳婷#蒂佳婷324浓修彩丸#PDRN#成分科普#护肤成分
199,小茶来了,达人号,323568,13277.0,13277.0,0.041,甜蜜区,1,,,,精华液,13277.0赞 会尊重孩子变美，这种父母谁不羡慕！ #剧情#家庭 #优斐斯氨甲环酸精华液
200,蓝姐🔥,达人号,22456,927.0,927.0,0.0413,甜蜜区,1,,,,水乳,927.0赞 我们家我爸爸只留下我们三兄妹。个个都成家了，都有孩子了，都比较难的。很难得回来我家，没有什么送给我弟媳给他们。发一个红包给弟媳和她小孩，给一套护肤品给我弟媳用，我自己自带自用的七件套护肤品。好用又划算，天气凉了，天气准备冷了，多去护肤，多去擦水乳霜，皮肤才不会容易干干燥燥🥰你们有需要的也可以去我櫉窗里面逛街呀#好物推荐🔥 #记录真实生活 #农村生活
201,陀陀娃,达人号,23079,943.0,943.0,0.0409,甜蜜区,1,,,,面膜,943.0赞 干妹仔最近不正常呀，又是敷面膜又是减肥的，老乡些，你们给我分析一下她是不是有情况呀#我的乡村生活
202,好奇Huggies,达人号,179270,6709.0,6709.0,0.0374,甜蜜区,1,,,,面膜,6709.0赞 好奇奢金「屁屁面膜」裤 新生顶配 源自母胎奢护，模拟母源精华，强韧肌肤屏障+98% 如蚕丝面膜般柔软，顶配0.6D极细纤维  #好奇奢金屁屁面膜裤 #好奇屁屁面膜纸尿裤 #好奇屁屁面膜 #好奇
203,正子,达人号,365507,13581.0,13581.0,0.0372,甜蜜区,1,,,,面膜,13581.0赞 vlog|正子和老板第一次一起播服装的天 #单眼皮的小黄豆 #任权薛小婉 #工作vlog#敏飞面膜
204,无眠,达人号,15613,572.0,572.0,0.0366,甜蜜区,1,,,,积雪草,572.0赞 积雪草煮水？没那么差 毕生之研这个厚脸皮水我本来前两天我写了一个内容，只是想吐槽一下，很多植物提取物动辄加个三五十，其实没什么太大用这个事儿  结果，他们的品牌方找到我说，好多人拿着那个视频去找品牌方进行退款。这真的是出乎我的意料之外。  毕生之研的这个厚脸皮水，它没有那么差。它 200 多毫升只卖 100 块钱，不说别的，光里面这 3% 的传明酸就绝对值回票价  我个人并没有觉得这个产品是绝对多么不可购买，或者说不可替换的产品，它没有好到那种程度，但是它绝对也没有到雷品的程度  如果你就需要一个日常基础修护、偏向于干皮的爽肤水，那我觉得它还是一个不错的可以选择的产品
205,一颗橙子🍊,达人号,68056,427.5,849.0,0.0063,甜蜜区,2,,,,闭口粉刺/面霜,849.0赞 小孩姐从小护肤的意识已经打败了90%的人✨ #袋鼠妈妈小暖霜 #骗你生女儿 #萌娃 #儿童面霜
206,Purple竺,达人号,112589,3907.0,3907.0,0.0347,甜蜜区,1,,,,洗面奶,3907.0赞 老铁们 这真是我的挚爱洗面奶 #优时颜B5至简洗面奶 #近距离社交美学
207,【南宁】三只兔皮肤管理中心,达人号,22542,795.0,795.0,0.0353,甜蜜区,1,,,,皮肤管理,795.0赞 第一视角皮肤管理店老板的日常！ #南宁皮肤管理 #三只兔日韩皮肤管理中心 #美业第一视角 #南宁皮肤管理 #美业vlog
208,猫猫,达人号,14991,536.0,536.0,0.0358,甜蜜区,1,,,,精简护肤,536.0赞 19💰新手护肤全套攻略！买对不买贵！ hihi大家～这期从基础补水、痘痘闭口、白白、泛红、k 老各个功效选一个，大家可以根据自己皮肤情况叠加哦！！单纯分享，审核员请不要误判哦～#大学生好物推荐 #学生党平价护肤 #护肤分享 #学生党平价安利 #精简护肤好物
