排名,痛点词,热度,关联视频数,互动量,曝光量,关联销量
579,刷子难用,0.03,1,456,3.9w+,680
580,口红易掉,0.03,1,456,3.9w+,680
581,显牙不白,0.03,1,456,3.9w+,680
582,卡粉起翘,0.03,1,463,-,679
583,水乳用完,0.03,1,226,-,678
584,怕被蹭掉,0.03,1,2495,34w+,677
585,隔离粉底一堆,0.03,1,2495,34w+,677
586,底妆不服贴,0.03,1,2690,-,673
587,敷面膜闷痘,0.03,1,551,19w+,671
588,留白,0.03,1,370,7.7w+,668
589,熬夜伤肤,0.03,1,669,16w+,668
590,藏粉,0.03,1,1461,6.4w+,656
591,粘底妆,0.03,1,1461,6.4w+,656
592,被带走,0.03,1,1461,6.4w+,656
593,腮红修容不好,0.03,1,812,-,655
594,补水难,0.03,1,948,30w+,652
595,补不进去,0.03,1,948,30w+,652
596,美白怕翻车,0.03,1,948,30w+,652
597,携带不便,0.03,1,225,5.8w+,637
598,水洗脱妆,0.03,1,822,10w+,634
599,补妆困难,0.03,1,822,10w+,634
600,眼部暗沉,0.03,1,695,10w+,608
601,黑头冒痘,0.03,1,695,10w+,608
602,毛孔不干净,0.03,1,695,10w+,608
603,打磨发烫,0.03,1,671,-,600
604,斑未淡化,0.03,1,186,3.3w+,600
605,磨到肉疼,0.03,1,671,-,600
606,磨半天不净,0.03,1,671,-,600
607,妆不均,0.03,1,225,11w+,577
608,粉扑掉渣,0.03,1,225,11w+,577
609,粉扑结块,0.03,1,225,11w+,577
610,有小纹,0.03,1,164,4.8w+,575
611,有小褶,0.03,1,164,4.8w+,575
612,妆效假面,0.03,1,311,19w+,575
613,费时费预算,0.03,1,471,-,575
614,精华入眼,0.03,1,11339,44w+,574
615,精华流嘴,0.03,1,11339,44w+,574
616,法令纹拉扯,0.03,1,11339,44w+,574
617,持妆差,0.03,1,1775,37w+,571
618,色差大,0.03,1,1775,37w+,571
619,冬天拔干,0.03,1,1775,37w+,571
620,妆感厚重,0.03,1,1775,37w+,571
621,色号不合适,0.03,1,1775,37w+,571
622,大白饼闲置,0.03,1,244,-,561
623,化妆难,0.03,1,3777,17w+,559
624,定妆粉感强,0.03,1,3777,17w+,559
625,易刮花底妆,0.03,1,3777,17w+,559
626,画底妆不均,0.03,1,3777,17w+,559
627,画眼线出错,0.03,1,3777,17w+,559
628,画眼妆不精细,0.03,1,3777,17w+,559
629,画眼妆无层次,0.03,1,3777,17w+,559
630,小凸起,0.03,1,1563,22w+,556
631,化妆显老,0.03,1,1563,22w+,556
632,粉底液贵,0.03,1,233,6.2w+,555
633,痘印痘坑,0.03,1,725,-,554
634,粘嘴糊嘴,0.03,1,1058,8.1w+,549
635,涂产品慢,0.03,1,612,-,544
636,指甲缝塞物,0.03,1,612,-,544
637,涂产品不均,0.03,1,612,-,544
638,涂身体乳脏手,0.03,1,612,-,544
639,光晒,0.03,1,1666,-,543
640,老化,0.03,1,1666,-,543
641,胶原断裂,0.03,1,1666,-,543
642,底妆不服,0.03,1,444,19w+,527
643,干且结块,0.03,1,477,37w+,508
644,吸收不好,0.03,1,194,-,499
645,敏肌泛红,0.03,1,194,-,499
646,睫毛掉,0.03,1,819,16w+,494
647,睫毛显老,0.03,1,819,16w+,494
648,不会画眼影,0.03,1,663,-,493
649,掉妆,0.03,1,343,6200+,492
650,脸麻麻赖赖,0.03,1,546,32w+,477
651,粉感假面,0.03,1,984,25w+,463
652,卸妆差,0.03,1,123,4.0w+,459
653,耳朵受苦,0.03,1,867,18w+,458
654,肤蜡黄,0.03,1,1014,12w+,455
655,吃粉结块,0.03,1,580,-,455
656,粉一块厚,0.03,1,580,-,455
657,粉一块薄,0.03,1,580,-,455
658,粉不均匀,0.03,1,580,-,455
659,口红糊,0.03,1,307,13w+,454
660,唇纹显老,0.03,1,307,13w+,454
661,细纹突出,0.03,1,124,5.5w+,450
662,老废角质,0.03,1,1036,39w+,447
663,护肤吸收差,0.03,1,1036,39w+,447
664,生硬显凶,0.03,1,219,-,445
665,干蜡黄,0.03,1,1418,17w+,439
666,皮肤嫩,0.03,1,1556,79w+,439
667,起皮皮,0.03,1,2657,17w+,439
668,坑坑洼洼,0.03,1,1556,79w+,439
669,皮肤干痒,0.03,1,2657,17w+,439
670,红不垃几,0.03,1,1017,12w+,439
671,肝纹细纹,0.03,1,1418,17w+,439
672,脸颊毛孔,0.03,1,1556,79w+,439
673,鼻子黑头,0.03,1,1556,79w+,439
674,用什么都无效,0.03,1,1418,17w+,439
675,唇形奇怪,0.03,1,874,14w+,434
676,显老压眼,0.03,1,2019,7.6w+,433
677,衔接感不够,0.03,1,2019,7.6w+,433
678,压眼,0.03,1,1352,-,427
679,底妆不遮,0.03,1,57,2.4w+,424
680,刺鼻,0.03,1,2364,35w+,421
681,用不完,0.03,1,509,25w+,420
682,换季敏感,0.03,1,194,2.3w+,416
683,皮肤暗糙,0.03,1,194,2.3w+,416
684,粉丝掉,0.03,1,1294,14w+,414
685,睡不好,0.03,1,310,13w+,407
686,容易卡粉,0.03,1,408,12w+,407
687,肤色不对,0.03,1,310,13w+,407
688,孕激素影响,0.03,1,310,13w+,407
689,瑕疵遮不住,0.03,1,408,12w+,407
690,眼皮衰老,0.03,1,363,23w+,400
691,嘴巴干巴起皮,0.03,1,1147,-,398
692,厚重闷,0.03,1,1098,8.4w+,397
693,身上有,0.03,1,1098,8.4w+,397
694,枕头上有,0.03,1,1098,8.4w+,397
695,山寨劣质,0.03,1,242,-,395
696,黑头撑大毛孔,0.03,1,242,-,395
697,嘴起皮,0.03,1,425,-,392
698,舔嘴巴,0.03,1,546,26w+,392
699,嘴巴有纹,0.03,1,546,26w+,392
700,嘴巴容易干,0.03,1,546,26w+,392
701,画牙掉,0.03,1,302,1.3w+,381
702,剃须假滑,0.03,1,614,-,381
703,胡茬明显,0.03,1,614,-,381
704,刮须费时长,0.03,1,614,-,381
705,剃须后干红,0.03,1,614,-,381
706,唇釉伤唇,0.03,1,296,4.1w+,378
707,不遮瑕,0.03,1,1883,20w+,377
708,底妆不干巴,0.03,1,1883,20w+,377
709,底妆不遮瑕,0.03,1,1883,20w+,377
710,底妆拍不开,0.03,1,1883,20w+,377
711,需要额外遮瑕,0.03,1,1883,20w+,377
712,暗沉垮脸,0.03,1,298,6.1w+,375
713,不上色,0.03,1,740,26w+,373
714,东拼西凑,0.03,1,740,26w+,373
715,天天咬嘴皮子,0.03,1,243,8.0w+,373
716,卸妆麻烦,0.03,1,594,3.1w+,370
717,眼影飞粉,0.03,1,59,1.5w+,370
718,眼线不手生,0.03,1,59,1.5w+,370
719,膏体卡干纹,0.03,1,59,1.5w+,370
720,卸甲慢,0.03,1,307,-,369
721,固态胶伤甲,0.03,1,160,-,366
722,普通胶不牢,0.03,1,160,-,366
723,化妆卡,0.03,1,298,22w+,365
724,皮肤薄,0.03,1,298,22w+,365
725,眼易干,0.03,1,298,22w+,365
726,笑夹蚊,0.03,1,298,22w+,365
727,缺水干,0.03,1,298,22w+,365
728,色差,0.03,1,197,4800+,364
729,皮肤红痒,0.03,1,508,19w+,363
730,脓包结节,0.03,1,508,19w+,363
731,基底层炎症,0.03,1,508,19w+,363
732,皮态重,0.03,1,718,7.0w+,361
733,法令明显,0.03,1,718,7.0w+,361
734,泪沟明显,0.03,1,718,7.0w+,361
735,选不好颜色,0.03,1,128,2600+,360
736,容易起皮,0.03,1,4209,27w+,356
737,不画眉,0.03,1,207,2.3w+,354
738,无眉毛,0.03,1,207,2.3w+,354
739,眉形差,0.03,1,207,2.3w+,354
740,发乌,0.03,1,266,10w+,353
741,不够润,0.03,1,266,10w+,353
742,需遮瑕,0.03,1,312,6.4w+,353
743,身上有味,0.03,1,964,8.8w+,353
744,化妆手残,0.03,1,326,7.7w+,352
745,显猴屁股,0.03,1,326,7.7w+,352
746,不及格粉底,0.03,1,148,4.9w+,351
747,甲型不好,0.03,1,346,4.8w+,350
748,唇干裂,0.03,1,1653,-,348
749,唇起皮,0.03,1,1653,-,348
750,粉面感,0.03,1,983,-,346
751,底妆黯沉,0.03,1,983,-,346
752,粉底移位,0.03,1,983,-,346
753,起皮干巴,0.03,1,983,-,346
754,假白粉面感,0.03,1,983,-,346
755,不下回不起沙,0.03,1,149,2.4w+,346
756,脸油粘脏,0.03,1,1125,75w+,344
757,嘴唇巨干,0.03,1,245,24w+,343
758,预算有限,0.03,1,245,24w+,343
759,润唇膏糊嘴,0.03,1,245,24w+,343
760,皮肤屏障不稳,0.03,1,76,4.2w+,343
761,D睫毛翻车,0.03,1,604,4.1w+,337
762,敏敏起痘,0.03,1,136,420+,336
763,睫毛塌陷,0.03,1,151,-,334
764,抗老难,0.03,1,146,5.2w+,331
765,胶笔易晕,0.03,1,203,-,331
766,敏肌怕功效,0.03,1,146,5.2w+,331
767,画不好眼线,0.03,1,203,-,331
768,眼线液易反光,0.03,1,203,-,331
769,无光泽感,0.03,1,629,-,326
770,吸引女生,0.03,1,475,-,324
771,熬夜成瘾,0.03,1,1269,44w+,324
772,洗面奶贵,0.03,1,182,4.0w+,323
773,损失大,0.03,1,273,4.7w+,322
774,皮肤有纹,0.03,1,382,6.2w+,322
775,红黑痘印,0.03,1,7756,58w+,322
776,唇形不美观,0.03,1,1483,27w+,322
777,凹陷,0.03,1,49,-,321
778,黄皮,0.03,1,651,12w+,320
779,嘴巴很干,0.03,1,651,12w+,320
780,洗坏化妆工具,0.03,1,1422,-,320
781,易划伤,0.03,1,869,-,319
782,汗毛快,0.03,1,869,-,319
783,脱毛膏过敏,0.03,1,869,-,319
784,持妆干卡,0.03,1,21372,25w+,318
785,持妆易脱,0.03,1,21372,25w+,318
786,眼线被吞,0.03,1,329,11w+,318
787,顽固黑头,0.03,1,16,1.1w+,316
788,全面开花,0.03,1,27,5.7w+,315
789,难以吸收,0.03,1,27,5.7w+,315
790,老年味,0.03,1,16,-,314
791,闭口堵塞,0.03,1,823,73w+,314
792,化妆搓泥卡粉,0.03,1,196,30w+,313
793,化妆斑驳脱妆,0.03,1,196,30w+,313
794,化妆氧化暗沉,0.03,1,196,30w+,313
795,卸不对,0.03,1,85,8.5w+,312
796,不会贴假睫毛,0.03,1,269,-,310
797,大糙皮,0.03,1,6285,3.2w+,308
798,妆感重,0.03,1,6285,3.2w+,308
799,小疙瘩,0.03,1,6285,3.2w+,308
800,泪沟法令纹,0.03,1,6285,3.2w+,308
801,假滑,0.03,1,1278,20w+,307
802,换季干燥粗糙,0.03,1,514,20w+,306
803,皮肤暗沉发黄,0.03,1,514,20w+,306
804,不让做美甲,0.03,1,364,2.6w+,304
805,皮肤干纹多,0.03,1,998,-,304
806,皮肤细纹多,0.03,1,998,-,304
807,皮肤老得快,0.03,1,998,-,304
808,抓粉力不足,0.03,1,139,5.9w+,302
809,肌肤干燥,0.03,1,1021,-,299
810,妆面蜡黄,0.03,1,3481,-,298
811,妆面不立体,0.03,1,3481,-,298
812,怕麻烦,0.03,1,2439,17w+,296
813,敏敏肌,0.03,1,2439,17w+,296
814,皮肤紧,0.03,1,2439,17w+,296
815,难洗难卸,0.03,1,322,9.6w+,295
816,爱皱眉,0.03,1,422,4.4w+,294
817,嘴角松垮,0.03,1,422,4.4w+,294
818,眼下小细纹,0.03,1,422,4.4w+,294
819,眼周沟沟壑壑,0.03,1,422,4.4w+,294
820,口红艳俗,0.03,1,232,-,291
821,皮肤紧绷拔干,0.03,1,267,10w+,291
822,小刺头,0.03,1,203,-,290
823,小草莓鼻,0.03,1,203,-,290
824,常年黑头,0.03,1,203,-,290
825,深层颗粒,0.03,1,203,-,290
826,眼线生硬显脏,0.03,1,368,9.3w+,290
827,鱼字纹,0.03,1,1104,9.2w+,289
828,眼下卡死,0.03,1,679,11w+,289
829,眼部干纹,0.03,1,1104,9.2w+,289
830,出油撑毛孔,0.03,1,679,11w+,289
831,等购,0.03,1,245,9.3w+,281
832,手涂慢,0.03,1,74,3.8w+,281
833,代购加价,0.03,1,245,9.3w+,281
834,指甲盖脏,0.03,1,74,3.8w+,281
835,花大价钱,0.03,1,245,9.3w+,281
836,沙发不光滑,0.03,1,589,1.5w+,281
837,额头油鼻口,0.03,1,589,1.5w+,281
838,鼻子冒黑头,0.03,1,589,1.5w+,281
839,唇线分层,0.03,1,195,2.8w+,280
840,唇周发乌发青,0.03,1,195,2.8w+,280
841,假性垮脸,0.03,1,115,5.5w+,278
842,黄暗沉粗糙,0.03,1,328,22w+,278
843,不敢素颜,0.03,1,146,21w+,277
844,陈年老痘印,0.03,1,146,21w+,277
845,修容发灰显脏,0.03,1,747,6.4w+,277
846,卡唇纹,0.03,1,203,13w+,276
847,出水不均,0.03,1,155,-,272
848,长粉刺闭口,0.03,1,261,4.5w+,272
849,头发干枯,0.03,1,1163,-,271
850,头发毛躁,0.03,1,1163,-,271
851,普通面膜无用,0.03,1,193,7.3w+,269
852,皮肤松垮暗沉,0.03,1,193,7.3w+,269
853,蹭掉睫毛,0.03,1,116,-,268
854,涂不均,0.03,1,131,-,267
855,涂得慢,0.03,1,131,-,267
856,浪费乳液,0.03,1,131,-,267
857,皮肤屏障刺激,0.03,1,175,-,266
858,拔粉,0.03,1,970,-,265
859,化妆懒,0.03,1,970,-,265
860,拔干假面,0.03,1,970,-,265
861,含量低慢,0.03,1,255,-,262
862,黑头出油,0.03,1,1435,-,262
863,嘴巴乌青,0.03,1,187,5.3w+,261
864,脸蛋发红,0.03,1,494,-,261
865,脸蛋敏敏,0.03,1,494,-,261
866,起皮干裂,0.03,1,187,5.3w+,261
867,嘴巴闹情绪,0.03,1,187,5.3w+,261
868,怕晒黑晒斑,0.03,1,141,11w+,261
869,不想瓶罐涂多,0.03,1,141,11w+,261
870,用太多显土,0.03,1,387,4.7w+,257
871,脸暗沉蜡黄,0.03,1,94,-,257
872,液体腮红显脏,0.03,1,387,4.7w+,257
873,液体腮红溶妆,0.03,1,387,4.7w+,257
874,皮肤疙疙瘩瘩,0.03,1,149,11w+,256
875,留甲沟,0.03,1,500,3.8w+,255
876,做工费劲,0.03,1,500,3.8w+,255
877,清洗不彻底,0.03,1,304,-,255
878,肥皂伤粉扑,0.03,1,304,-,255
879,不吸收,0.03,1,90,5.0w+,254
880,显卡纹,0.03,1,214,5.9w+,254
881,深层清洁难,0.03,1,90,5.0w+,254
882,磨砂膏不适脸,0.03,1,90,5.0w+,254
883,露边,0.03,1,97,-,252
884,水质脏,0.03,1,1071,9.4w+,252
885,倒吸水分,0.03,1,1071,9.4w+,252
886,唇釉沾杯,0.03,1,210,5.2w+,252
887,容易掉色,0.03,1,372,4.5w+,252
888,没支撑力,0.03,1,97,-,252
889,涂后胶粘,0.03,1,372,4.5w+,252
890,怕卸不干净,0.03,1,231,7.7w+,252
891,双眼皮贴翻出,0.03,1,97,-,252
892,妆感差,0.03,1,4263,-,251
893,卡纹厚重,0.03,1,4263,-,251
894,妆容不精致,0.03,1,424,7.5w+,251
895,盗版假,0.03,1,209,-,250
896,颈纹深,0.03,1,275,-,248
897,鸡皮疙瘩,0.03,1,275,-,248
898,低头玩手机,0.03,1,275,-,248
899,颈纹显年纪,0.03,1,275,-,248
900,皮肤氧化暗沉,0.03,1,365,1.4w+,248
901,易蹭掉,0.03,1,1501,7.8w+,247
902,厚重卡粉,0.03,1,1501,7.8w+,247
903,发红发灰,0.03,1,1501,7.8w+,247
904,毛孔暗沉,0.03,1,1501,7.8w+,247
905,毛衣沾妆,0.03,1,1501,7.8w+,247
906,细节不好,0.03,1,1501,7.8w+,247
907,黑眼圈圈,0.03,1,1501,7.8w+,247
908,白了遮不住,0.03,1,1501,7.8w+,247
909,反胶,0.03,1,321,-,245
910,下巴脏,0.03,1,144,-,245
911,叠两张,0.03,1,321,-,245
912,看不清,0.03,1,321,-,245
913,脸颊脏,0.03,1,144,-,245
914,黑头挤,0.03,1,144,-,245
915,鼻子脏,0.03,1,144,-,245
916,出油反光,0.03,1,321,-,245
917,需扬眼尾,0.03,1,321,-,245
918,刺鼻浓烈街香,0.03,1,839,14w+,245
919,留印,0.03,1,754,-,244
920,痘痘反复冒,0.03,1,754,-,244
921,花多钱,0.03,1,225,-,243
922,起死皮,0.03,1,170,-,242
923,脸垮下垂,0.03,1,163,-,242
924,眼部干燥,0.03,1,483,1.5w+,241
925,定妆爆皮,0.03,1,120,3.0w+,238
926,痘痘痘印,0.03,1,91,1.0w+,237
927,眉毛杂乱,0.03,1,371,22w+,237
928,不想用普通,0.03,1,811,14w+,237
929,沟壑明显,0.03,1,96,-,235
930,底妆卡纹,0.03,1,166,-,234
931,面部黄气,0.03,1,827,8.0w+,234
932,勾壑感明显,0.03,1,827,8.0w+,234
933,没精神,0.03,1,436,-,233
934,眼睛小,0.03,1,436,-,233
935,单眼皮下垂,0.03,1,436,-,233
936,贴双眼皮尴尬,0.03,1,436,-,233
937,脸色黄,0.03,1,117,-,232
938,易卡顿断,0.03,1,290,-,232
939,画眼影难,0.03,1,224,12w+,232
940,早上赶时间,0.03,1,224,12w+,232
941,干巴起皮,0.03,1,1054,2100+,231
942,黯黑泛红,0.03,1,1054,2100+,231
943,假睫毛假,0.03,1,154,8.5w+,230
944,假睫毛浓,0.03,1,154,8.5w+,230
945,种睫毛掉,0.03,1,154,8.5w+,230
946,涂素颜霜脏手,0.03,1,45,-,230
947,满指甲盖都是,0.03,1,45,-,230
948,素颜霜涂不匀,0.03,1,45,-,230
949,唇色不佳,0.03,1,78,-,229
950,嘴巴发干,0.03,1,78,-,229
951,嘴巴发裂,0.03,1,78,-,229
952,一字纹鱼尾纹,0.03,1,675,7.5w+,229
953,干纹细纹眼袋,0.03,1,675,7.5w+,229
954,泛红无光松弛,0.03,1,675,7.5w+,229
955,眼角纹黑眼圈,0.03,1,675,7.5w+,229
956,油膜感,0.03,1,75,8.9w+,228
957,上妆不好看,0.03,1,86,4.9w+,228
958,鼻子有黑头,0.03,1,86,4.9w+,228
959,粘腻,0.03,1,610,18w+,227
960,易掉皮,0.03,1,610,18w+,227
961,妆容卡粉,0.03,1,127,-,227
962,画脸寡淡,0.03,1,127,-,227
963,遮斑卡粉,0.03,1,343,13w+,227
964,遮痘厚重,0.03,1,343,13w+,227
965,换季闹情绪,0.03,1,103,11w+,226
966,妆面脱妆,0.03,1,506,14w+,225
967,之前一袋贵,0.03,1,146,11w+,225
968,干唇,0.03,1,28,1.4w+,224
969,吃死皮,0.03,1,845,5.9w+,224
970,毛孔垃圾,0.03,1,665,-,224
971,皮纸状态差,0.03,1,625,4.8w+,224
972,容易丢,0.03,1,200,2.9w+,223
973,妆会卡粉,0.03,1,202,-,223
974,妆会浮粉,0.03,1,202,-,223
975,大牌香水刺鼻,0.03,1,139,1.7w+,221
976,黑头粉刺反复,0.03,1,339,6.6w+,220
977,睫毛凸,0.03,1,253,-,219
978,有粉刺,0.03,1,177,4.1w+,218
979,唇裂,0.03,1,279,6.1w+,217
980,嘴爆皮,0.03,1,279,6.1w+,217
981,显老村,0.03,1,69,2.4w+,217
982,黏腻拉丝,0.03,1,69,2.4w+,217
983,唇敏感泛红,0.03,1,279,6.1w+,217
984,小纹路,0.03,1,242,5.2w+,216
985,有沟壑,0.03,1,242,5.2w+,216
986,凹陷沟壑,0.03,1,149,-,216
987,素颜憔悴,0.03,1,149,-,216
988,妆容显贵难,0.03,1,149,-,216
989,面部太平整,0.03,1,149,-,216
990,搓泥脱妆,0.03,1,233,2.9w+,215
991,有红血丝,0.03,1,293,11w+,215
992,闷痘闭口,0.03,1,233,2.9w+,215
993,反复冒痘,0.03,1,393,16w+,213
994,嘴巴卡纹,0.03,1,504,12w+,213
995,掉色尴尬,0.03,1,295,7.2w+,213
996,熬夜垮脸,0.03,1,109,16w+,213
997,皮肤缺水,0.03,1,393,16w+,213
998,黑头不断,0.03,1,393,16w+,213
999,死板唇线笔,0.03,1,191,5.9w+,213
1000,胶笔断,0.03,1,102,1600+,211
1001,胶笔干巴,0.03,1,102,1600+,211
1002,出油爆汗脱妆,0.03,1,316,21w+,211
1003,出汗,0.03,1,102,-,209
1004,内裤差,0.03,1,102,-,209
1005,刺痛感,0.03,1,2970,9.1w+,209
1006,又肿又痒,0.03,1,102,-,209
1007,唇膏拔干,0.03,1,129,4.4w+,209
1008,唇色不好,0.03,1,129,4.4w+,209
1009,敏感不适,0.03,1,102,-,209
1010,泛红发烫,0.03,1,102,-,209
1011,私处闷热,0.03,1,102,-,209
1012,脱妆掉色,0.03,1,129,4.4w+,209
1013,阴囊湿疹,0.03,1,102,-,209
1014,清洁不到位,0.03,1,102,-,209
1015,睡觉不安稳,0.03,1,102,-,209
1016,进灰,0.03,1,2069,18w+,207
1017,妆会花掉,0.03,1,207,3.6w+,206
1018,无白色碎钻胶,0.03,1,187,490+,206
1019,脸有斑皱,0.03,1,1960,17w+,204
1020,脸黄闭口,0.03,1,78,-,204
1021,洗面奶卸不净,0.03,1,102,4600+,204
1022,怕掉,0.03,1,487,13w+,203
1023,怕显眼,0.03,1,487,13w+,203
1024,发红发痒,0.03,1,714,9.0w+,203
1025,老气,0.03,1,179,4.2w+,202
1026,断货,0.03,1,51,5.7w+,201
1027,又干又敏,0.03,1,85,3.5w+,201
1028,浮粉晒黑,0.03,1,547,47w+,201
1029,眉笔粗假,0.03,1,25,7.0w+,201
1030,把酒弄洒了,0.03,1,146,6.6w+,201
1031,皮肤小情绪,0.03,1,85,3.5w+,201
1032,易塌,0.03,1,474,-,200
1033,不好用,0.03,1,104,2.2w+,200
1034,底妆花,0.03,1,652,2600+,200
1035,手残难贴,0.03,1,474,-,200
1036,涂胶水麻烦,0.03,1,474,-,200
1037,吹发慢,0.03,1,85,4300+,199
1038,爱起皮,0.03,1,142,-,199
1039,唇色暗沉,0.03,1,142,-,199
1040,嘴唇发乌,0.03,1,142,-,199
1041,经常冒痘,0.03,1,275,-,199
1042,缺货,0.03,1,271,3.1w+,198
1043,暗沉浮粉,0.03,1,184,-,198
1044,很多粉丝上当,0.03,1,95,3.7w+,198
1045,撕皮皮,0.03,1,162,2.9w+,197
1046,皮肤干黄,0.03,1,121,4.8w+,197
1047,油糙皮冒油,0.03,1,659,1.9w+,197
1048,脸上长闭口,0.03,1,659,1.9w+,197
1049,眼妆卡粉,0.03,1,121,-,194
1050,眼皮暗沉,0.03,1,121,-,194
1051,洗脸后涂错,0.03,1,254,-,194
1052,夹断毛,0.03,1,102,-,192
1053,无精神,0.03,1,428,-,192
1054,夹不住毛,0.03,1,102,-,192
1055,扯伤皮肤,0.03,1,102,-,192
1056,胡茬扎手,0.03,1,102,-,192
1057,花钱种睫毛,0.03,1,428,-,192
1058,双眼皮贴反光,0.03,1,85,1.2w+,192
1059,双眼皮贴翘边,0.03,1,85,1.2w+,192
1060,红敏,0.03,1,105,3.6w+,190
1061,脓包,0.03,1,223,3.8w+,189
1062,产品无效,0.03,1,422,-,189
1063,皮肤不细,0.03,1,252,10w+,189
1064,黑头未清,0.03,1,460,-,189
1065,脸上有痘痘,0.03,1,223,3.8w+,189
1066,毛孔太多,0.03,1,740,12w+,188
1067,面膜难用,0.03,1,136,7.7w+,188
1068,唇膏质量差,0.03,1,85,2.8w+,188
1069,面膜易污染,0.03,1,244,4.5w+,188
1070,面膜挂不住汁,0.03,1,244,4.5w+,188
1071,面膜边角不贴,0.03,1,244,4.5w+,188
1072,刮伤,0.03,1,152,2.9w+,186
1073,粉底发灰,0.03,1,152,2.9w+,186
1074,底妆不干净,0.03,1,152,2.9w+,186
1075,斑驳浮粉,0.03,1,90,2.9w+,184
1076,买错香水,0.03,1,527,5.7w+,183
1077,定妆假白,0.03,1,424,3.1w+,183
1078,口红干,0.03,1,11,2200+,182
1079,易起皮,0.03,1,11,2200+,182
1080,汗漉漉,0.03,1,227,-,182
1081,智力发黑,0.03,1,1754,-,182
1082,水分流失,0.03,1,2033,1.0w+,182
1083,润唇膏油腻,0.03,1,11,2200+,182
1084,嘴歪,0.03,1,837,-,181
1085,一秒暗沉,0.03,1,837,-,181
1086,像香肠嘴,0.03,1,837,-,181
1087,只有汗味,0.03,1,112,1.6w+,181
1088,涂口红脏,0.03,1,837,-,181
1089,柴米油盐味,0.03,1,112,1.6w+,181
1090,反光,0.03,1,97,9,180
1091,发炎,0.03,1,237,-,180
1092,痤疮,0.03,1,237,-,180
1093,蜕皮,0.03,1,237,-,180
1094,痘变大,0.03,1,104,-,180
1095,痘痘烦,0.03,1,118,2.8w+,180
1096,冒老大痘,0.03,1,118,2.8w+,180
1097,大红肿痘,0.03,1,237,-,180
1098,干燥脱屑,0.03,1,237,-,180
1099,油腻汗味,0.03,1,238,-,180
1100,浓烈冲人,0.03,1,238,-,180
1101,痘吸不出,0.03,1,104,-,180
1102,皮炎湿疹,0.03,1,237,-,180
1103,红斑瘙痒,0.03,1,237,-,180
1104,花冤枉钱,0.03,1,48,2.2w+,180
1105,挤痘痘,0.03,1,693,-,177
1106,纹眉贵,0.03,1,266,-,177
1107,痘痘翘边,0.03,1,693,-,177
1108,眉笔易掉,0.03,1,266,-,177
1109,眉笔生硬,0.03,1,266,-,177
1110,纹眉掉色,0.03,1,266,-,177
1111,营销过度,0.03,1,693,-,177
1112,镊子不干净,0.03,1,693,-,177
1113,颜色不隐形,0.03,1,693,-,177
1114,嘴巴干燥起皮,0.03,1,415,-,177
1115,留印留坑,0.03,1,263,3.6w+,176
1116,痘痘严重,0.03,1,263,3.6w+,176
1117,红印难消,0.03,1,263,3.6w+,176
1118,敷完很快干,0.03,1,145,9.3w+,176
1119,底妆厚,0.03,1,101,970+,174
1120,瑕疵多,0.03,1,101,970+,174
1121,唇色不均,0.03,1,91,2.8w+,173
1122,嘴型不好,0.03,1,91,2.8w+,173
1123,勿买假的,0.03,1,327,-,172
1124,有黑科技,0.03,1,327,-,172
1125,气质不足,0.03,1,323,8.8w+,171
1126,不保湿,0.03,1,84,8.9w+,169
1127,留白汤,0.03,1,3153,16w+,169
1128,肌肤暗沉,0.03,1,175,9800+,169
1129,妆假面,0.03,1,138,540+,168
1130,脸妆脏,0.03,1,138,540+,168
1131,妆显毛孔,0.03,1,138,540+,168
1132,妆面显肿,0.03,1,138,540+,168
1133,脸不流畅,0.03,1,138,540+,168
1134,粘土掉果壳,0.03,1,384,27w+,168
1135,假面,0.03,1,100,10+,167
1136,像大妈,0.03,1,272,2.3w+,167
1137,易晕染,0.03,1,36,1.0w+,167
1138,暗沉快,0.03,1,100,10+,167
1139,几十块一支,0.03,1,36,1.0w+,167
1140,眼周有干纹,0.03,1,272,2.3w+,167
1141,眼周有细纹,0.03,1,272,2.3w+,167
1142,容油,0.03,1,154,7900+,165
1143,容易出汗,0.03,1,154,7900+,165
1144,怕晒斑,0.03,1,179,6.7w+,164
1145,长痘出油,0.03,1,125,8.8w+,164
1146,出油黑头多,0.03,1,125,8.8w+,164
1147,出汗花妆,0.03,1,322,6000+,163
1148,妆不持久,0.03,1,322,6000+,163
1149,干皮卡粉,0.03,1,39,1.3w+,163
1150,油皮闷痘,0.03,1,39,1.3w+,163
1151,熬夜后皮肤差,0.03,1,39,1.3w+,163
1152,粉底液不服帖,0.03,1,39,1.3w+,163
1153,表达爱意过直,0.03,1,272,-,162
1154,粘嘴,0.03,1,523,9.4w+,161
1155,长黑头,0.03,1,457,12w+,161
1156,干燥不稳,0.03,1,1304,1800+,161
1157,皮肤油光,0.03,1,492,8.5w+,161
1158,皮肤黢黄,0.03,1,457,12w+,161
1159,易结块,0.03,1,38,-,160
1160,难操作,0.03,1,38,-,160
1161,学校管严,0.03,1,128,2.1w+,160
1162,抠破留疤,0.03,1,116,2.5w+,160
1163,需洗面奶,0.03,1,322,11w+,160
1164,沾异味,0.03,1,188,4.0w+,159
1165,冒油爆汗,0.03,1,29,140+,159
1166,妆面斑驳,0.03,1,29,140+,159
1167,经常补妆,0.03,1,29,140+,159
